asset_id,asset_name,asset_type,location_or_provider,process_owner,main_users,data_categories,confidentiality_1_5,integrity_1_5,availability_1_5,existing_controls,notes
A01,LMS,Облачная информационная система,Внешний поставщик / Интернет,Заместитель директора по учебной работе,Педагоги; обучающиеся; администраторы,Учебные материалы; работы; результаты тестов; профили пользователей,,,,HTTPS; роли; журналы входа; MFA для администраторов,MFA для педагогов не обязательна
A02,Электронный журнал,Облачная информационная система,Внешний поставщик,Заместитель директора по учебной работе,Педагоги; администрация; обучающиеся; родители,Оценки; посещаемость; расписание; данные контингента,,,,Ролевой доступ; HTTPS; экспорт отчётов,Возможен экспорт в XLSX
A03,Публичный сайт,Веб-сервис,Хостинг-провайдер,Ответственный за сайт,Редакторы; посетители,Публичные материалы; документы; формы обратной связи,,,,Редакторские роли; HTTPS,Публикацию выполняют два сотрудника
A04,Файловое облако,Облачное хранилище,Внешний поставщик,Администрация,Педагоги; администрация,Учебные материалы; рабочие документы; отдельные списки,,,,Группы; персональные папки; ссылки общего доступа,Нет регулярной ревизии публичных ссылок
A05,Корпоративная почта,Облачный сервис,Внешний поставщик,Администрация,Работники,Служебная переписка; уведомления; вложения,,,,Парольная аутентификация; HTTPS,Часть уведомлений доступна на личных мобильных устройствах
A06,Сервис видеоконференций,Облачный сервис,Внешний поставщик,Заместитель директора,Педагоги; обучающиеся; родители,Аудио/видео; чат; список участников,,,,Ссылки на встречи; организатор,Ссылки иногда пересылаются в классные чаты
A07,Локальная база контингента,База данных,Серверный сегмент школы,Администрация,Ограниченные административные роли,ФИО; класс; статус обучения; внутренние идентификаторы,,,,Ограниченный доступ; внутренняя сеть; резервное копирование,Используется для внутренних списков и интеграций
A08,Административная сеть,Сетевая инфраструктура,Школа,Системный администратор,Администрация; технические работники,Сетевой трафик к внутренним сервисам,,,,Отдельная сеть; межсетевые правила,Документация правил неполная
A09,Педагогическая сеть,Сетевая инфраструктура,Школа,Системный администратор,Педагоги,Доступ к учебным и облачным сервисам,,,,Отдельный сетевой сегмент,
A10,Ученический компьютерный класс,Рабочие станции и сеть,Школа,Заведующий кабинетом / системный администратор,Обучающиеся; преподаватели информатики,Учебные файлы; локальные профили,,,,Ограниченные пользовательские права,Используется многими группами
A11,Гостевой Wi-Fi,Сетевая инфраструктура,Школа,Системный администратор,Гости; личные устройства,Транзитный интернет-трафик,,,,Отделение от серверного сегмента,Правила документированы не полностью
