variant,theme,task_1,task_2,task_3
1,LMS и учётные записи,"Выделите LMS как основной актив и сформулируйте три дополнительных сценария: компрометация учётной записи педагога, избыточная роль и массовая выгрузка работ.","Добавьте на DFD поток журналов аутентификации LMS к администратору/системе мониторинга и объясните, какую доверительную границу он пересекает.","Дополните памятку правилом для педагога о входе в LMS с чужого или общего компьютера и укажите, какой риск снижается."
2,Электронный журнал и целостность оценок,"Постройте три сценария нарушения целостности электронного журнала: ошибочное изменение, компрометация аккаунта и неотозванный доступ.",Добавьте поток экспорта ведомости из журнала в локальный XLSX-файл педагога и оцените новые риски хранения.,Сформулируйте два конкретных правила локальной политики по контролю экспорта и хранению ведомостей.
3,Файловое облако и публичные ссылки,"Выявите минимум три риска, связанных с общими папками и ссылками внешнего доступа.",Добавьте поток передачи учебного файла внешнему участнику по публичной ссылке и покажите доверительную границу.,Разработайте мини-чек-лист из пяти пунктов «Перед публикацией ссылки» для педагогов.
4,Резервное копирование,"Оцените три сценария: повреждённая резервная копия, недоступность NAS и несанкционированный доступ к резервным данным.","Постройте Mermaid-схему процесса резервного копирования и контрольного восстановления, включая точку проверки результата.","Предложите организационный регламент проверки восстановления: периодичность, ответственный и фиксируемый результат."
5,Публичный сайт,"Сформулируйте три сценария: ошибочная публикация персональных данных, компрометация редактора и публикация устаревшего или неверного документа.",Добавьте поток подготовки материала из общей папки в CMS и покажите контрольную точку перед публикацией.,"Сформулируйте правило двойной проверки материалов, содержащих сведения об обучающихся."
6,Электронная почта и фишинг,"Сформулируйте три сценария, связанные с фишингом, вредоносным вложением и ошибочной отправкой сообщения не тому адресату.",Добавьте поток восстановления пароля через корпоративную почту и оцените его влияние на другие сервисы.,Создайте фрагмент памятки «Как сообщить о подозрительном письме» без требования самостоятельно расследовать инцидент.
7,Видеоконференции,"Сформулируйте три риска: посторонний участник, публикация ссылки и несанкционированная запись/распространение материалов.",Добавьте поток приглашения на родительское собрание через классный канал коммуникации и покажите внешнюю границу.,"Определите четыре настройки или организационных действия, которые педагог проверяет перед началом онлайн-занятия."
8,Внешний олимпиадный сервис,Сформулируйте три риска передачи данных внешней платформе и отдельно укажите риск избыточного состава передаваемых данных.,"Добавьте поток загрузки педагогом списка участников в CSV и определите, где появляется копия данных.",Сформулируйте критерии допуска нового внешнего образовательного сервиса: минимум пять проверяемых пунктов.
9,Управление увольнением работника,"Сформулируйте три сценария, связанные с неотозванными правами после увольнения или смены роли.","Постройте Mermaid-процесс блокирования доступа в LMS, почте, облаке и локальной сети.","Добавьте в политику правило о сроке блокирования и роли, которая подтверждает завершение процедуры."
10,Административные учётные записи,"Сформулируйте три сценария: общая admin-учётная запись, компрометация привилегированного аккаунта и ошибочная команда администратора.",Добавьте поток административного журналирования и хранение журналов как отдельный актив.,Предложите набор из пяти правил для привилегированных учётных записей.
11,Ученический компьютерный класс,"Сформулируйте три риска: остаточные файлы другого ученика, изменение настроек и использование сохранённой сессии.","Добавьте поток входа обучающегося в LMS с общего ПК и отметьте, где хранение сессии создаёт риск.",Составьте короткую инструкцию завершения работы на общем компьютере для обучающегося.
12,Гостевой Wi-Fi,"Сформулируйте три сценария, связанные с ошибочной сегментацией, доступом к внутреннему ресурсу и использованием гостевого устройства.","Доработайте Mermaid-схему зон Guest, Student, Teacher, Admin, Server и разрешённых направлений взаимодействия.","Определите три риска, которые необходимо повторно проверить после изменения сетевых правил."
13,Локальная база контингента,"Сформулируйте три сценария: избыточный доступ, ошибочное массовое изменение и утечка через выгрузку.",Добавьте поток формирования архивной выгрузки по окончании учебного года и определите жизненный цикл файла.,Предложите правила минимизации и удаления локальных выгрузок.
