flow_id,source,destination,actor,data,purpose,channel,authentication,source_zone,destination_zone,external_party,notes
F01,Обучающийся,LMS,Обучающийся,Работы; ответы тестов; профиль,Обучение и контроль,HTTPS/Internet,Учётная запись LMS,Внешняя,Облако,Да,
F02,Педагог,LMS,Педагог,Материалы; задания; оценки; комментарии,Организация обучения,HTTPS/Internet,Учётная запись LMS,Школа/Internet,Облако,Да,MFA не обязательна
F03,Педагог,Электронный журнал,Педагог,Оценки; посещаемость,Учёт результатов,HTTPS/Internet,Учётная запись журнала,Школа/Internet,Облако,Да,
F04,Администрация,Локальная база контингента,Секретарь/администратор,Контингент; статус обучения,Учёт обучающихся,Локальная сеть,Доменная/локальная учётная запись,Административная сеть,Серверный сегмент,Нет,
F05,Локальная база контингента,Электронный журнал,Интеграция/администратор,Состав классов; идентификаторы,Актуализация контингента,Защищённое соединение/API,Сервисная учётная запись/токен,Серверный сегмент,Облако,Да,Каталог токенов централизованно не ведётся
F06,Педагог,Файловое облако,Педагог,Учебные материалы; рабочие документы,Совместная работа,HTTPS/Internet,Учётная запись облака,Школа/Internet,Облако,Да,Возможны внешние ссылки
F07,Администрация,Публичный сайт,Редактор,Новости; документы; фотографии,Публичное информирование,HTTPS/Internet,Учётная запись редактора,Школа,Хостинг,Да,
F08,Педагог,Корпоративная почта,Педагог,Служебные сообщения; вложения,Коммуникация,HTTPS/SMTP/TLS,Почтовая учётная запись,Школа/Internet,Облако,Да,
F09,Педагог,Сервис видеоконференций,Педагог,Аудио/видео; чат; список участников,Дистанционное занятие/собрание,Internet,Учётная запись организатора/ссылка,Школа/Internet,Облако,Да,
F10,Обучающийся,Внешний олимпиадный сервис,Обучающийся/педагог,Регистрационные сведения; результаты,Участие в олимпиаде,HTTPS/Internet,Учётная запись/приглашение,Внешняя,Внешний сервис,Да,Единого каталога сервисов нет
F11,Локальная база контингента,NAS,Задание резервного копирования,Резервная копия базы,Восстановление,Локальная сеть,Сервисная учётная запись,Серверный сегмент,Серверный сегмент,Нет,Проверка восстановления нерегулярна
F12,Родитель,Электронный журнал,Родитель,Запросы к оценкам/посещаемости,Информирование,HTTPS/Internet,Учётная запись родителя,Внешняя,Облако,Да,
